User Query,Expected Question,Retrieved Question,Actual Focus Area,Retrieved Focus Area,Similarity
explain (are) prothrombin thrombophilia ?,What is (are) prothrombin thrombophilia ?,What is (are) Prothrombin thrombophilia ?,prothrombin thrombophilia,Prothrombin thrombophilia,0.9664905
explain (are) joubert syndrome ?,What is (are) Joubert syndrome ?,What is (are) Joubert Syndrome ?,Joubert syndrome,Joubert Syndrome,0.96538997
explain (are) fryns syndrome ?,What is (are) Fryns syndrome ?,What is (are) Fryns syndrome ?,Fryns syndrome,Fryns syndrome,0.9653719
explain (are) alzheimer's caregiving ?,What is (are) Alzheimer's Caregiving ?,What is (are) Alzheimer's Caregiving ?,Alzheimer's Caregiving,Alzheimer's Caregiving,0.9650551
explain (are) tetralogy of fallot ?,What is (are) Tetralogy of Fallot ?,What is (are) Tetralogy of Fallot ?,Tetralogy of Fallot,Tetralogy of Fallot,0.9646951
"tell me the of megalencephaly, polymicrogyria, and hydrocephalus (mpph) syndrome","What are the symptoms of Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome ?","What is (are) Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome ?","Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome","Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome",0.96446025
what are the diabetic mastopathy ?,What causes Diabetic mastopathy ?,What is (are) Diabetic mastopathy ?,Diabetic mastopathy,Diabetic mastopathy,0.96434736
explain (are) cardiofaciocutaneous syndrome ?,What is (are) Cardiofaciocutaneous syndrome ?,What is (are) cardiofaciocutaneous syndrome ?,Cardiofaciocutaneous syndrome,cardiofaciocutaneous syndrome,0.96160346
explain (are) problems with taste ?,What is (are) Problems with Taste ?,What is (are) Problems with Taste ?,Problems with Taste,Problems with Taste,0.9615693
"(are) 46,xx testicular disorder of sex development","What is (are) 46,XX testicular disorder of sex development ?","What is (are) 46,XX testicular disorder of sex development ?","46,XX testicular disorder of sex development","46,XX testicular disorder of sex development",0.96056867
explain (are) myotonia congenita ?,What is (are) Myotonia Congenita ?,What is (are) myotonia congenita ?,Myotonia Congenita,myotonia congenita,0.9605364
about the of hereditary lymphedema type ii ?,What are the symptoms of Hereditary lymphedema type II ?,What is (are) Hereditary lymphedema type II ?,Hereditary lymphedema type II,Hereditary lymphedema type II,0.95983785
explain (are) pachyonychia congenita ?,What is (are) pachyonychia congenita ?,What is (are) Pachyonychia congenita ?,pachyonychia congenita,Pachyonychia congenita,0.9597854
"(are) methylmalonic acidemia with homocystinuria, type ?","What is (are) Methylmalonic acidemia with homocystinuria, type cblC ?",What is (are) methylmalonic acidemia with homocystinuria ?,"Methylmalonic acidemia with homocystinuria, type cblC",methylmalonic acidemia with homocystinuria,0.958407
explain (are) tourette syndrome ?,What is (are) Tourette Syndrome ?,What is (are) Tourette syndrome ?,Tourette Syndrome,Tourette syndrome,0.95784247
explain (are) medicare and continuing care ?,What is (are) Medicare and Continuing Care ?,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,Medicare and Continuing Care,0.95680857
how to irritable bowel syndrome children ?,How to diagnose Irritable Bowel Syndrome in Children ?,What to do for Irritable Bowel Syndrome in Children ?,Irritable Bowel Syndrome in Children,Irritable Bowel Syndrome in Children,0.9565973
tell me the signs of fanconi syndrome ?,What are the symptoms of Fanconi renotubular syndrome ?,What are the symptoms of Fanconi like syndrome ?,Fanconi renotubular syndrome,Fanconi like syndrome,0.9557954
explain (are) ectopic kidney ?,What is (are) Ectopic Kidney ?,What is (are) Ectopic Kidney ?,Ectopic Kidney,Ectopic Kidney,0.9533756
tell me about osteopetrosis autosomal recessive 7 ?,What are the symptoms of Osteopetrosis autosomal recessive 7 ?,What is (are) Osteopetrosis autosomal recessive 7 ?,Osteopetrosis autosomal recessive 7,Osteopetrosis autosomal recessive 7,0.9497483
who is at risk for ?,Who is at risk for Prostate Cancer? ?,Who is at risk for ? ?,Prostate Cancer,General Health,0.9484309
who is at risk for ?,Who is at risk for Prostate Cancer? ?,Who is at risk for ? ?,Prostate Cancer,General Health,0.9484309
tell me the signs of myelomonocytic leukemia ?,What are the symptoms of Juvenile Myelomonocytic Leukemia ?,What are the symptoms of Chronic Myelomonocytic Leukemia ?,Juvenile Myelomonocytic Leukemia,Chronic Myelomonocytic Leukemia,0.94775945
explain (are) colorectal cancer ?,What is (are) Colorectal Cancer ?,What is (are) Colorectal Cancer ?,Colorectal Cancer,Colorectal Cancer,0.9474528
explain (are) hypoglycemia ?,What is (are) Hypoglycemia ?,What is (are) Hypoglycemia ?,Hypoglycemia,Hypoglycemia,0.9472798
explain (are) rheumatoid arthritis ?,What is (are) Rheumatoid Arthritis ?,What is (are) rheumatoid arthritis ?,Rheumatoid Arthritis,rheumatoid arthritis,0.94643795
explain (are) anxiety disorders ?,What is (are) Anxiety Disorders ?,What is (are) Anxiety Disorders ?,Anxiety Disorders,Anxiety Disorders,0.9445945
explain (are) cerebral palsy ?,What is (are) Cerebral Palsy ?,What is (are) Cerebral Palsy ?,Cerebral Palsy,Cerebral Palsy,0.94442743
to do for urine blockage newborns ?,What to do for Urine Blockage in Newborns ?,What to do for Urine Blockage in Newborns ?,Urine Blockage in Newborns,Urine Blockage in Newborns,0.94373965
what are the reasons for hemochromatosis ?,What causes Hemochromatosis ?,What causes Hemochromatosis ?,Hemochromatosis,Hemochromatosis,0.9407867
explain (are) coma ?,What is (are) Coma ?,What is (are) Coma ?,Coma,Coma,0.9401005
explain (are) hearing loss ?,What is (are) Hearing Loss ?,What is (are) Hearing Loss ?,Hearing Loss,Hearing Loss,0.938628
explain (are) leukemia ?,What is (are) Leukemia ?,What is (are) Leukemia ?,Leukemia,Leukemia,0.9357972
explain (are) breast cancer ?,What is (are) Breast Cancer ?,What is (are) Breast Cancer ?,Breast Cancer,Breast Cancer,0.93380433
explain (are) acquired cystic kidney condition ?,What is (are) Acquired Cystic Kidney Disease ?,What is (are) Acquired Cystic Kidney Disease ?,Acquired Cystic Kidney Disease,Acquired Cystic Kidney Disease,0.9322423
me about the hereditary sensory neuropathy type 1 ?,What are the symptoms of Hereditary sensory neuropathy type 1 ?,What is (are) Hereditary sensory neuropathy type 1 ?,Hereditary sensory neuropathy type 1,Hereditary sensory neuropathy type 1,0.9317933
explain (are) gaze palsy progressive scoliosis ?,What is (are) horizontal gaze palsy with progressive scoliosis ?,What is (are) Horizontal gaze palsy with progressive scoliosis ?,horizontal gaze palsy with progressive scoliosis,Horizontal gaze palsy with progressive scoliosis,0.92758644
tell me about adult central nervous system tumors ?,What are the symptoms of Adult Central Nervous System Tumors ?,What is (are) Adult Central Nervous System Tumors ?,Adult Central Nervous System Tumors,Adult Central Nervous System Tumors,0.9264449
tell about the of osteogenesis imperfecta ?,What are the symptoms of Osteogenesis imperfecta ?,What causes Osteogenesis imperfecta ?,Osteogenesis imperfecta,Osteogenesis imperfecta,0.9252143
explain (are) blood sugar-6-phosphate dehydrogenase deficiency ?,What is (are) Glucose-6-phosphate dehydrogenase deficiency ?,What is (are) glucose-6-phosphate dehydrogenase deficiency ?,Glucose-6-phosphate dehydrogenase deficiency,glucose-6-phosphate dehydrogenase deficiency,0.92404604
me about ways to manage septo-optic dysplasia ?,What are the treatments for septo-optic dysplasia ?,What are the treatments for Septo-optic dysplasia ?,septo-optic dysplasia,Septo-optic dysplasia,0.9226899
how to x-linked congenital night blindness ?,How to diagnose X-linked congenital stationary night blindness ?,What are the treatments for X-linked congenital stationary night blindness ?,X-linked congenital stationary night blindness,X-linked congenital stationary night blindness,0.9199337
explain (are) hepatitis b: what asian islander americans need to ?,What is (are) Hepatitis B: What Asian and Pacific Islander Americans Need to Know ?,What is (are) Hepatitis B: What Asian and Pacific Islander Americans Need to Know ?,Hepatitis B: What Asian and Pacific Islander Americans Need to Know,Hepatitis B: What Asian and Pacific Islander Americans Need to Know,0.9198504
inclusion myopathy with early-onset paget condition and frontotemporal dementia ?,What is (are) inclusion body myopathy with early-onset Paget disease and frontotemporal dementia ?,Is inclusion body myopathy with early-onset Paget disease and frontotemporal dementia inherited ?,inclusion body myopathy with early-onset Paget disease and frontotemporal dementia,inclusion body myopathy with early-onset Paget disease and frontotemporal dementia,0.91943264
explain (are) high blood pressure ?,What is (are) High Blood Pressure ?,What is (are) High Blood Pressure ?,High Blood Pressure,High Blood Pressure,0.91910356
tell me about the manage white sponge nevus ?,What are the treatments for white sponge nevus ?,What is (are) white sponge nevus ?,white sponge nevus,white sponge nevus,0.9189788
tell me the genetic changes to ring chromosome syndrome ?,What are the genetic changes related to ring chromosome 20 syndrome ?,What are the genetic changes related to ring chromosome 14 syndrome ?,ring chromosome 20 syndrome,ring chromosome 14 syndrome,0.9165746
tell me about the to perry syndrome ?,What are the treatments for Perry syndrome ?,What is (are) Perry syndrome ?,Perry syndrome,Perry syndrome,0.91573066
what the reasons dry mouth ?,What causes Dry Mouth ?,What causes Dry Mouth ?,Dry Mouth,Dry Mouth,0.912735
how to paranasal sinus and nasal cancer ?,How to diagnose Paranasal Sinus and Nasal Cavity Cancer ?,What are the treatments for Paranasal Sinus and Nasal Cavity Cancer ?,Paranasal Sinus and Nasal Cavity Cancer,Paranasal Sinus and Nasal Cavity Cancer,0.9117947
explain (are) kidney failure: eat feel on hemodialysis ?,What is (are) Kidney Failure: Eat Right to Feel Right on Hemodialysis ?,What is (are) Kidney Failure: Eat Right to Feel Right on Hemodialysis ?,Kidney Failure: Eat Right to Feel Right on Hemodialysis,Kidney Failure: Eat Right to Feel Right on Hemodialysis,0.911609
me the signs of multiple pterygium syndrome type ?,What are the symptoms of Multiple pterygium syndrome Escobar type ?,What are the symptoms of Multiple pterygium syndrome X-linked ?,Multiple pterygium syndrome Escobar type,Multiple pterygium syndrome X-linked,0.90937424
me about the signs spondylometaphyseal dysplasia type ?,What are the symptoms of Spondylometaphyseal dysplasia Sedaghatian type ?,What are the symptoms of Spondylometaphyseal dysplasia type A4 ?,Spondylometaphyseal dysplasia Sedaghatian type,Spondylometaphyseal dysplasia type A4,0.90734667
me about the adult central nervous system tumors ?,What are the stages of Adult Central Nervous System Tumors ?,What is (are) Adult Central Nervous System Tumors ?,Adult Central Nervous System Tumors,Adult Central Nervous System Tumors,0.9066616
explain (are) alzheimer's condition ?,What is (are) Alzheimer's Disease ?,What is (are) Alzheimer's Disease ?,Alzheimer's Disease,Alzheimer's Disease,0.9061661
explain (are) alzheimer's condition ?,What is (are) Alzheimer's Disease ?,What is (are) Alzheimer's Disease ?,Alzheimer's Disease,Alzheimer's Disease,0.9061661
me about the manage for meesmann corneal dystrophy ?,What are the treatments for Meesmann corneal dystrophy ?,What are the treatments for Meesmann corneal dystrophy ?,Meesmann corneal dystrophy,Meesmann corneal dystrophy,0.9048295
tell me about of lymphomatoid papulosis ?,What are the symptoms of Lymphomatoid papulosis ?,What causes Lymphomatoid papulosis ?,Lymphomatoid papulosis,Lymphomatoid papulosis,0.90465844
tell me about the signs alopecia ?,What are the symptoms of Alopecia totalis ?,What are the symptoms of Alopecia areata ?,Alopecia totalis,Alopecia areata,0.9039656
tell me about the to sapho syndrome ?,What are the treatments for SAPHO syndrome ?,What is (are) SAPHO syndrome ?,SAPHO syndrome,SAPHO syndrome,0.90266895
tell me the genetic changes to warfarin ?,What are the genetic changes related to warfarin sensitivity ?,What are the genetic changes related to warfarin resistance ?,warfarin sensitivity,warfarin resistance,0.89825195
how many people affected by familial dyskinesia ?,How many people are affected by familial paroxysmal kinesigenic dyskinesia ?,How many people are affected by familial paroxysmal nonkinesigenic dyskinesia ?,familial paroxysmal kinesigenic dyskinesia,familial paroxysmal nonkinesigenic dyskinesia,0.89795536
what (or clinical is being for arachnoiditis ?,what research (or clinical trials) is being done for Arachnoiditis ?,What is the outlook for Arachnoiditis ?,Arachnoiditis,Arachnoiditis,0.8967804
tell me about related to angelman syndrome ?,What are the genetic changes related to Angelman syndrome ?,What causes Angelman syndrome ?,Angelman syndrome,Angelman syndrome,0.89659524
me about the signs of alopecia ?,What are the symptoms of Alopecia universalis ?,What are the symptoms of Alopecia areata ?,Alopecia universalis,Alopecia areata,0.89592314
tell about the of dravet syndrome ?,What are the symptoms of Dravet syndrome ?,What is the outlook for Dravet Syndrome ?,Dravet syndrome,Dravet Syndrome,0.89478934
tell me about the to bloom syndrome ?,What are the treatments for Bloom syndrome ?,What is (are) Bloom syndrome ?,Bloom syndrome,Bloom syndrome,0.89399314
tell me about related to pfeiffer syndrome ?,What are the genetic changes related to Pfeiffer syndrome ?,What is (are) Pfeiffer syndrome ?,Pfeiffer syndrome,Pfeiffer syndrome,0.88743895
tell about the signs of bilateral polymicrogyria ?,What are the symptoms of Bilateral frontoparietal polymicrogyria ?,What are the symptoms of Bilateral perisylvian polymicrogyria ?,Bilateral frontoparietal polymicrogyria,Bilateral perisylvian polymicrogyria,0.8862872
me about the of osteogenesis imperfecta type vii,What are the symptoms of Osteogenesis imperfecta type VII ?,What is (are) Osteogenesis imperfecta type I ?,Osteogenesis imperfecta type VII,Osteogenesis imperfecta type I,0.88549054
me about the ways to manage anemia ?,What are the treatments for Anemia ?,How to prevent Anemia ?,Anemia,Anemia,0.8840724
tell me about the to laron syndrome ?,What are the treatments for Laron syndrome ?,What causes Laron syndrome ?,Laron syndrome,Laron syndrome,0.8827456
tell me about the to laron syndrome ?,What are the treatments for Laron syndrome ?,What causes Laron syndrome ?,Laron syndrome,Laron syndrome,0.8827456
tell about the to manage williams syndrome ?,What are the treatments for Williams syndrome ?,What is the outlook for Williams Syndrome ?,Williams syndrome,Williams Syndrome,0.88064253
tell me about the genetic related dysplasia ?,What are the genetic changes related to Greenberg dysplasia ?,What are the genetic changes related to Kniest dysplasia ?,Greenberg dysplasia,Kniest dysplasia,0.8779602
how many are affected by dysplasia ?,How many people are affected by metatropic dysplasia ?,How many people are affected by Kniest dysplasia ?,metatropic dysplasia,Kniest dysplasia,0.87789285
to for prevent diabetes problems: keep your healthy ?,What to do for Prevent diabetes problems: Keep your kidneys healthy ?,How to prevent Prevent diabetes problems: Keep your diabetes under control ?,Prevent diabetes problems: Keep your kidneys healthy,Prevent diabetes problems: Keep your diabetes under control,0.8763132
explain (are) gum (periodontal) condition ?,What is (are) Gum (Periodontal) Disease ?,What is (are) Gum (Periodontal) Disease ?,Gum (Periodontal) Disease,Gum (Periodontal) Disease,0.8762056
tell me the ways to for national hormone and pituitary (nhpp): information for treated with pituitary human hormone report) ?,What are the treatments for National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,How to diagnose National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report),National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report),0.87302625
tell me the ways to for national hormone and pituitary (nhpp): information for treated with pituitary human hormone report) ?,What are the treatments for National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,How to diagnose National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report),National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report),0.87302625
tell me about the ways to frontotemporal dementia with ?,What are the treatments for frontotemporal dementia with parkinsonism-17 ?,What are the treatments for Frontotemporal Dementia ?,frontotemporal dementia with parkinsonism-17,Frontotemporal Dementia,0.8665736
me about the of retinal vasculopathy with leukodystrophy ?,What are the symptoms of Retinal vasculopathy with cerebral leukodystrophy ?,What is (are) Retinal vasculopathy with cerebral leukodystrophy ?,Retinal vasculopathy with cerebral leukodystrophy,Retinal vasculopathy with cerebral leukodystrophy,0.86622024
tell me about the ways for glaucoma ?,What are the treatments for Glaucoma ?,What are the treatments for Glaucoma ?,Glaucoma,Glaucoma,0.8612771
me about the signs of spinocerebellar autosomal recessive ?,What are the symptoms of Spinocerebellar ataxia autosomal recessive 3 ?,What are the symptoms of Spinocerebellar ataxia autosomal recessive 8 ?,Spinocerebellar ataxia autosomal recessive 3,Spinocerebellar ataxia autosomal recessive 8,0.85585856
tell about the signs of syndrome ?,What are the symptoms of Cobb syndrome ?,What are the symptoms of N syndrome ?,Cobb syndrome,N syndrome,0.8558067
tell about the to manage colorectal cancer ?,What are the treatments for Colorectal Cancer ?,What are the treatments for Colorectal Cancer ?,Colorectal Cancer,Colorectal Cancer,0.85477376
tell about the to manage myasthenia gravis ?,What are the treatments for Myasthenia Gravis ?,What is the outlook for Myasthenia Gravis ?,Myasthenia Gravis,Myasthenia Gravis,0.8537543
tell me about the genetic related arthritis ?,What are the genetic changes related to psoriatic arthritis ?,What are the genetic changes related to rheumatoid arthritis ?,psoriatic arthritis,rheumatoid arthritis,0.85168874
tell me about the changes related ataxia ?,What are the genetic changes related to episodic ataxia ?,What is the outlook for Ataxia ?,episodic ataxia,Ataxia,0.85126066
tell me about the signs of syndrome ?,What are the symptoms of 8q12 microduplication syndrome ?,What are the symptoms of CHILD syndrome ?,8q12 microduplication syndrome,CHILD syndrome,0.8467032
what the for crohn's condition ?,What causes Crohn's Disease ?,What are the complications of Crohn's Disease ?,Crohn's Disease,Crohn's Disease,0.84573895
tell me the signs of syndrome ?,What are the symptoms of Cleidorhizomelic syndrome ?,What are the symptoms of CHILD syndrome ?,Cleidorhizomelic syndrome,CHILD syndrome,0.8420217
explain (are) graves condition ?,What is (are) Graves disease ?,What is (are) Graves' Disease ?,Graves disease,Graves' Disease,0.8412297
tell me about signs of dysplasia ?,What are the symptoms of Acrocephalopolydactylous dysplasia ?,What are the symptoms of Oculodentodigital dysplasia ?,Acrocephalopolydactylous dysplasia,Oculodentodigital dysplasia,0.8404157
tell me about the ways manage hyperparathyroidism ?,What are the treatments for Primary Hyperparathyroidism ?,What to do for Primary Hyperparathyroidism ?,Primary Hyperparathyroidism,Primary Hyperparathyroidism,0.8388186
tell me about ways to for parasites - enterobiasis (also as infection) ?,What are the treatments for Parasites - Enterobiasis (also known as Pinworm Infection) ?,How to prevent Parasites - Enterobiasis (also known as Pinworm Infection) ?,Parasites - Enterobiasis (also known as Pinworm Infection),Parasites - Enterobiasis (also known as Pinworm Infection),0.8366705
explain (are) ?,What is (are)  ?,What is (are)  ?,General Health,General Health,0.8356312
me about ways to manage alzheimer's condition ?,What are the treatments for Alzheimer's Disease ?,How to prevent Alzheimer's Disease ?,Alzheimer's Disease,Alzheimer's Disease,0.8316893
how many people are affected by deficiency ?,How many people are affected by 3-beta-hydroxysteroid dehydrogenase deficiency ?,How many people are affected by factor V deficiency ?,3-beta-hydroxysteroid dehydrogenase deficiency,factor V deficiency,0.82795465
tell me about the of thymoma carcinoma ?,What are the symptoms of Thymoma and Thymic Carcinoma ?,What is the outlook for Thymoma and Thymic Carcinoma ?,Thymoma and Thymic Carcinoma,Thymoma and Thymic Carcinoma,0.8249868
tell me about ways to manage for kidney failure: a management that's you ?,What are the treatments for Kidney Failure: Choosing a Treatment That's Right for You ?,What to do for Kidney Failure: What to Expect ?,Kidney Failure: Choosing a Treatment That's Right for You,Kidney Failure: What to Expect,0.82454693
tell me about signs of congenital syndrome ?,What are the symptoms of Congenital intrauterine infection-like syndrome ?,What are the symptoms of CHILD syndrome ?,Congenital intrauterine infection-like syndrome,CHILD syndrome,0.82401925
is at risk for colorectal ?,Who is at risk for Colorectal Cancer? ?,Who is at risk for Colorectal Cancer? ?,Colorectal Cancer,Colorectal Cancer,0.8203044
tell about genetic changes related to congenital central syndrome ?,What are the genetic changes related to congenital central hypoventilation syndrome ?,What are the genetic changes related to central core disease ?,congenital central hypoventilation syndrome,central core disease,0.8168004
me the ways to manage for limb-girdle dystrophy ?,What are the treatments for Limb-girdle muscular dystrophy ?,What are the treatments for limb-girdle muscular dystrophy ?,Limb-girdle muscular dystrophy,limb-girdle muscular dystrophy,0.8125932
tell me about ways to manage albright syndrome ?,What are the treatments for McCune Albright syndrome ?,What are the treatments for McCune-Albright syndrome ?,McCune Albright syndrome,McCune-Albright syndrome,0.80166864
explain (are) failure in children chronic kidney condition,What is (are) Growth Failure in Children with Chronic Kidney Disease ?,What is (are) Kidney Failure ?,Growth Failure in Children with Chronic Kidney Disease,Kidney Failure,0.79594314
tell me about genetic changes related condition ?,What are the genetic changes related to Charcot-Marie-Tooth disease ?,What are the genetic changes related to Behet disease ?,Charcot-Marie-Tooth disease,Behet disease,0.7952373
tell me the to manage for fatal insomnia ?,What are the treatments for Fatal familial insomnia ?,What are the treatments for Insomnia ?,Fatal familial insomnia,Insomnia,0.7933693
tell me about the of lambert syndrome ?,What are the symptoms of Lambert Eaton myasthenic syndrome ?,What is (are) Lambert Eaton myasthenic syndrome ?,Lambert Eaton myasthenic syndrome,Lambert Eaton myasthenic syndrome,0.79217386
tell me about the of chromosome deletion ?,What are the symptoms of Chromosome 17q deletion ?,What is (are) Chromosome 1p deletion ?,Chromosome 17q deletion,Chromosome 1p deletion,0.7898464
tell me about the genetic related syndrome ?,What are the genetic changes related to heterotaxy syndrome ?,What are the genetic changes related to Majeed syndrome ?,heterotaxy syndrome,Majeed syndrome,0.78504163
tell me about the to manage microsomia ?,What are the treatments for craniofacial microsomia ?,What are the treatments for Hemifacial microsomia ?,craniofacial microsomia,Hemifacial microsomia,0.7711004
me about ways to manage pseudopelade of brocq ?,What are the treatments for Pseudopelade of Brocq ?,What is (are) Pseudopelade of Brocq ?,Pseudopelade of Brocq,Pseudopelade of Brocq,0.76938665
tell me about signs of 18 deficiency ?,What are the symptoms of 18 Hydroxylase deficiency ?,What are the symptoms of SCOT deficiency ?,18 Hydroxylase deficiency,SCOT deficiency,0.7551647
tell about the genetic changes related to cell ?,What are the genetic changes related to sickle cell disease ?,What are the genetic changes related to Langerhans cell histiocytosis ?,sickle cell disease,Langerhans cell histiocytosis,0.7508633
tell me about the stages of cell ?,What are the stages of Merkel Cell Carcinoma ?,What are the stages of Langerhans Cell Histiocytosis ?,Merkel Cell Carcinoma,Langerhans Cell Histiocytosis,0.74235314
tell me about the signs balance ?,What are the symptoms of Balance Problems ?,What are the symptoms of Balance Problems ?,Balance Problems,Balance Problems,0.74117804
explain (are) ollier condition ?,What is (are) Ollier disease ?,What is (are) Ollier disease ?,Ollier disease,Ollier disease,0.7399473
what the reasons for syndrome ?,What causes Arts syndrome ?,What causes Majeed syndrome ?,Arts syndrome,Majeed syndrome,0.7291521
tell me the signs of dissecans ?,What are the symptoms of Osteochondritis dissecans ?,What are the symptoms of Desmosterolosis ?,Osteochondritis dissecans,Desmosterolosis,0.6893523
are the reasons for syndrome ?,What causes Klinefelter syndrome ?,What causes Majeed syndrome ?,Klinefelter syndrome,Majeed syndrome,0.6864773
tell me about the of deficiency ?,What are the symptoms of Transaldolase deficiency ?,What is (are) LCHAD deficiency ?,Transaldolase deficiency,LCHAD deficiency,0.6823071
tell me about the of syndrome ?,What are the symptoms of Stuve-Wiedemann syndrome ?,What is (are) Churg Strauss syndrome ?,Stuve-Wiedemann syndrome,Churg Strauss syndrome,0.6811169
tell about the ways to manage for congenital ?,What are the treatments for severe congenital neutropenia ?,What are the treatments for Congenital anosmia ?,severe congenital neutropenia,Congenital anosmia,0.67766535
tell me about the of syndrome 11 ?,What are the symptoms of Bardet-Biedl syndrome 11 ?,What is (are) Noonan syndrome 6 ?,Bardet-Biedl syndrome 11,Noonan syndrome 6,0.6768971
what are reasons for peripheral condition ?,What causes Peripheral Artery Disease ?,What is (are) Peripheral Nerve Disorders ?,Peripheral Artery Disease,Peripheral Nerve Disorders,0.6757657
tell me about the ways to manage nonbullous congenital ?,What are the treatments for nonbullous congenital ichthyosiform erythroderma ?,What are the treatments for Congenital anosmia ?,nonbullous congenital ichthyosiform erythroderma,Congenital anosmia,0.67305773
are the reasons for hearing ?,What causes Hearing Loss ?,What is (are) Hearing Problems in Children ?,Hearing Loss,Hearing Problems in Children,0.653497
me about the ways to for syndrome ?,What are the treatments for WaterhouseFriderichsen syndrome ?,What are the treatments for Cant syndrome ?,WaterhouseFriderichsen syndrome,Cant syndrome,0.6517807
